frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
202,9.556906859999799,40.43250199902104,6.340578000163077,selected,ready,direct,direct,-0.028125,0.55,77.25,-0.037500000000000006,353,True
203,9.604207690999829,40.69431199968676,6.525131000671536,selected,ready,direct,direct,-0.021875,0.55,77.5,-0.035937500000000004,353,True
204,9.65126496999983,40.494648999811034,6.480428000941174,selected,ready,direct,direct,-0.025,0.55,77.0,-0.043750000000000004,354,True
205,9.698375099998884,40.567091999037075,6.462909999754629,selected,ready,direct,direct,-0.025,0.55,77.0,-0.043750000000000004,354,True
206,9.74557172799905,26.543033000052674,6.510778999654576,selected,ready,direct,direct,-0.025,0.55,77.0,-0.043750000000000004,354,True
207,9.79303935200005,40.88942099951964,6.496760001027724,selected,ready,direct,direct,-0.021875,0.55,77.25,-0.04062500000000001,353,True
208,9.840161055999488,40.512260000468814,6.5305190000799485,selected,ready,direct,direct,-0.01875,0.55,77.75,-0.03281250000000001,353,True
209,9.886996097999145,40.2282089999062,6.524630000058096,selected,ready,direct,direct,-0.00625,0.55,78.75,-0.020312500000000004,352,True
210,9.934151080000447,40.46883500086551,6.604352000067593,selected,ready,interpolated,direct,0.015625,0.55,79.5,-0.0171875,351,True
211,9.981014176999452,26.156002000789158,6.4045589988381835,selected,ready,direct,direct,0.04375,0.6,81.0,-0.04999999999999992,354,True
212,10.028611095000088,40.75210700102616,6.763589999536634,selected,ready,direct,direct,0.046875,0.55,82.25,0.018749999999999996,349,True
213,10.075507061999815,40.269930999784265,6.545186000948888,selected,ready,direct,direct,0.046875,0.55,82.0,0.014062499999999999,349,True
