run,image,old_ready,new_ready,old_pwm,new_pwm,old_near,new_near,new_far,pair_status,points
134112,000199_raw.jpg,ready,ready,361,361,77.0,77.0,71.5,consistent,"[(0.55, 71.5), (0.6, 74.75), (0.7, 79.25), (0.75, 80.5), (0.8, 81.75), (0.85, 83.5)]"
134112,000221_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000243_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.5), (0.8, 81.75), (0.85, 83.5)]"
134112,000265_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000287_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.25), (0.8, 81.75), (0.85, 83.5)]"
134112,000309_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.5), (0.85, 83.5)]"
134112,000331_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.5), (0.8, 81.75), (0.85, 83.5)]"
134112,000353_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000375_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000397_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000419_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000441_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000463_raw.jpg,ready,ready,361,361,76.875,76.875,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.0), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000485_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.5), (0.85, 83.5)]"
134112,000507_raw.jpg,ready,ready,361,361,77.125,77.125,71.75,consistent,"[(0.55, 71.75), (0.6, 75.0), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000529_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000551_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000573_raw.jpg,ready,ready,361,361,76.875,76.875,71.75,consistent,"[(0.55, 71.75), (0.6, 74.5), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000595_raw.jpg,ready,ready,361,361,77.125,77.125,71.75,consistent,"[(0.55, 71.75), (0.6, 75.0), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000617_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.5), (0.8, 81.75), (0.85, 83.5)]"
134442,000001_raw.jpg,ready,ready,361,361,76.25,76.25,73.75,consistent,"[(0.6, 73.75), (0.65, 76.25), (0.75, 78.25), (0.8, 79.75), (0.85, 81.0), (0.9, 84.0)]"
134442,000023_raw.jpg,ready,ready,361,361,76.25,76.25,73.75,consistent,"[(0.6, 73.75), (0.65, 76.25), (0.75, 78.25), (0.8, 79.5), (0.85, 81.0), (0.9, 83.75)]"
134442,000045_raw.jpg,ready,ready,360,360,76.25,76.25,74.0,consistent,"[(0.6, 74.0), (0.65, 76.25), (0.75, 78.25), (0.8, 80.25), (0.85, 81.0), (0.9, 83.75)]"
134442,000067_raw.jpg,ready,ready,361,361,76.25,76.25,73.75,consistent,"[(0.6, 73.75), (0.65, 76.25), (0.75, 78.5), (0.8, 79.5), (0.85, 81.0), (0.9, 84.0)]"
134442,000089_raw.jpg,ready,ready,361,361,76.25,76.25,73.75,consistent,"[(0.6, 73.75), (0.65, 76.25), (0.75, 78.25), (0.8, 80.0), (0.85, 81.0), (0.9, 84.0)]"
134442,000111_raw.jpg,ready,ready,360,360,76.25,76.25,74.25,consistent,"[(0.6, 74.25), (0.65, 76.25), (0.75, 78.25), (0.8, 80.0), (0.85, 81.0), (0.9, 83.75)]"
134442,000133_raw.jpg,ready,ready,361,361,76.25,76.25,73.75,consistent,"[(0.6, 73.75), (0.65, 76.25), (0.75, 78.25), (0.8, 80.0), (0.85, 81.0), (0.9, 84.0)]"
134442,000155_raw.jpg,ready,ready,361,361,76.25,76.25,73.75,consistent,"[(0.6, 73.75), (0.65, 76.25), (0.75, 78.25), (0.8, 79.75), (0.85, 81.0), (0.9, 84.0)]"
